STB Manufacturer,STB Model,STB Serial,STB Production Date,Chipset Type,Chipset Version,Chipset Id
INTEK Digital,HD-S73CX,C28H1552L00001,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539533
INTEK Digital,HD-S73CX,C28H1552L00002,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652544353
INTEK Digital,HD-S73CX,C28H1552L00003,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533237
INTEK Digital,HD-S73CX,C28H1552L00004,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541705
INTEK Digital,HD-S73CX,C28H1552L00005,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532444
INTEK Digital,HD-S73CX,C28H1552L00006,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652524055
INTEK Digital,HD-S73CX,C28H1552L00007,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539128
INTEK Digital,HD-S73CX,C28H1552L00008,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539595
INTEK Digital,HD-S73CX,C28H1552L00009,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541170
INTEK Digital,HD-S73CX,C28H1552L00010,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539968
INTEK Digital,HD-S73CX,C28H1552L00011,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535456
INTEK Digital,HD-S73CX,C28H1552L00012,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535988
INTEK Digital,HD-S73CX,C28H1552L00013,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537378
INTEK Digital,HD-S73CX,C28H1552L00014,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652544316
INTEK Digital,HD-S73CX,C28H1552L00015,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652534427
INTEK Digital,HD-S73CX,C28H1552L00016,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532478
INTEK Digital,HD-S73CX,C28H1552L00017,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539106
INTEK Digital,HD-S73CX,C28H1552L00018,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516050
INTEK Digital,HD-S73CX,C28H1552L00028,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537758
INTEK Digital,HD-S73CX,C28H1552L00029,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539527
INTEK Digital,HD-S73CX,C28H1552L00030,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537796
INTEK Digital,HD-S73CX,C28H1552L00031,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536609
INTEK Digital,HD-S73CX,C28H1552L00032,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540605
INTEK Digital,HD-S73CX,C28H1552L00033,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540844
INTEK Digital,HD-S73CX,C28H1552L00034,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539223
INTEK Digital,HD-S73CX,C28H1552L00035,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536561
INTEK Digital,HD-S73CX,C28H1552L00036,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540190
INTEK Digital,HD-S73CX,C28H1552L00091,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529433
INTEK Digital,HD-S73CX,C28H1552L00092,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535996
INTEK Digital,HD-S73CX,C28H1552L00093,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536576
INTEK Digital,HD-S73CX,C28H1552L00094,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537558
INTEK Digital,HD-S73CX,C28H1552L00095,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516367
INTEK Digital,HD-S73CX,C28H1552L00096,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516183
INTEK Digital,HD-S73CX,C28H1552L00097,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516202
INTEK Digital,HD-S73CX,C28H1552L00098,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537781
INTEK Digital,HD-S73CX,C28H1552L00099,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539593
INTEK Digital,HD-S73CX,C28H1552L00127,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538355
INTEK Digital,HD-S73CX,C28H1552L00128,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537744
INTEK Digital,HD-S73CX,C28H1552L00129,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539643
INTEK Digital,HD-S73CX,C28H1552L00130,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541680
INTEK Digital,HD-S73CX,C28H1552L00131,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539219
INTEK Digital,HD-S73CX,C28H1552L00132,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536051
INTEK Digital,HD-S73CX,C28H1552L00133,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529271
INTEK Digital,HD-S73CX,C28H1552L00134,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539126
INTEK Digital,HD-S73CX,C28H1552L00135,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538819
INTEK Digital,HD-S73CX,C28H1552L00172,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535276
INTEK Digital,HD-S73CX,C28H1552L00173,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535356
INTEK Digital,HD-S73CX,C28H1552L00174,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540876
INTEK Digital,HD-S73CX,C28H1552L00175,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652543979
INTEK Digital,HD-S73CX,C28H1552L00176,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529510
INTEK Digital,HD-S73CX,C28H1552L00177,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516062
INTEK Digital,HD-S73CX,C28H1552L00178,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535507
INTEK Digital,HD-S73CX,C28H1552L00179,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540992
INTEK Digital,HD-S73CX,C28H1552L00180,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536012
INTEK Digital,HD-S73CX,C28H1552L00226,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535469
INTEK Digital,HD-S73CX,C28H1552L00227,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537490
INTEK Digital,HD-S73CX,C28H1552L00228,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539139
INTEK Digital,HD-S73CX,C28H1552L00229,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538951
INTEK Digital,HD-S73CX,C28H1552L00230,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535100
INTEK Digital,HD-S73CX,C28H1552L00231,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535501
INTEK Digital,HD-S73CX,C28H1552L00232,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652534249
INTEK Digital,HD-S73CX,C28H1552L00233,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540206
INTEK Digital,HD-S73CX,C28H1552L00234,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652537500
INTEK Digital,HD-S73CX,C28H1552L00280,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538383
INTEK Digital,HD-S73CX,C28H1552L00281,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529581
INTEK Digital,HD-S73CX,C28H1552L00282,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541692
INTEK Digital,HD-S73CX,C28H1552L00283,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535743
INTEK Digital,HD-S73CX,C28H1552L00284,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539091
INTEK Digital,HD-S73CX,C28H1552L00285,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539608
INTEK Digital,HD-S73CX,C28H1552L00286,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541030
INTEK Digital,HD-S73CX,C28H1552L00287,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652544313
INTEK Digital,HD-S73CX,C28H1552L00288,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539017
INTEK Digital,HD-S73CX,C28H1552L00361,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535944
INTEK Digital,HD-S73CX,C28H1552L00362,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525627
INTEK Digital,HD-S73CX,C28H1552L00363,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525539
INTEK Digital,HD-S73CX,C28H1552L00364,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532100
INTEK Digital,HD-S73CX,C28H1552L00365,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540759
INTEK Digital,HD-S73CX,C28H1552L00366,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514488
INTEK Digital,HD-S73CX,C28H1552L00367,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529260
INTEK Digital,HD-S73CX,C28H1552L00368,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514366
INTEK Digital,HD-S73CX,C28H1552L00369,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535673
INTEK Digital,HD-S73CX,C28H1552L00397,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535046
INTEK Digital,HD-S73CX,C28H1552L00398,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529557
INTEK Digital,HD-S73CX,C28H1552L00399,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652536984
INTEK Digital,HD-S73CX,C28H1552L00400,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529546
INTEK Digital,HD-S73CX,C28H1552L00401,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535342
INTEK Digital,HD-S73CX,C28H1552L00402,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516620
INTEK Digital,HD-S73CX,C28H1552L00403,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529542
INTEK Digital,HD-S73CX,C28H1552L00404,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529279
INTEK Digital,HD-S73CX,C28H1552L00405,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516131
INTEK Digital,HD-S73CX,C28H1552L00415,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516596
INTEK Digital,HD-S73CX,C28H1552L00416,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538256
INTEK Digital,HD-S73CX,C28H1552L00417,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652543887
INTEK Digital,HD-S73CX,C28H1552L00418,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652534677
INTEK Digital,HD-S73CX,C28H1552L00419,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535558
INTEK Digital,HD-S73CX,C28H1552L00420,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529559
INTEK Digital,HD-S73CX,C28H1552L00421,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540742
INTEK Digital,HD-S73CX,C28H1552L00422,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652515868
INTEK Digital,HD-S73CX,C28H1552L00423,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514368
INTEK Digital,HD-S73CX,C28H1552L00532,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535104
INTEK Digital,HD-S73CX,C28H1552L00533,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652534838
INTEK Digital,HD-S73CX,C28H1552L00534,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529824
INTEK Digital,HD-S73CX,C28H1552L00535,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652515040
INTEK Digital,HD-S73CX,C28H1552L00536,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535664
INTEK Digital,HD-S73CX,C28H1552L00537,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525278
INTEK Digital,HD-S73CX,C28H1552L00538,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525544
INTEK Digital,HD-S73CX,C28H1552L00539,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529744
INTEK Digital,HD-S73CX,C28H1552L00540,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532953
INTEK Digital,HD-S73CX,C28H1552L00541,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525574
INTEK Digital,HD-S73CX,C28H1552L00542,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516562
INTEK Digital,HD-S73CX,C28H1552L00543,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514363
INTEK Digital,HD-S73CX,C28H1552L00544,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652525557
INTEK Digital,HD-S73CX,C28H1552L00545,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652521683
INTEK Digital,HD-S73CX,C28H1552L00546,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535995
INTEK Digital,HD-S73CX,C28H1552L00547,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532982
INTEK Digital,HD-S73CX,C28H1552L00548,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652538430
INTEK Digital,HD-S73CX,C28H1552L00549,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529827
INTEK Digital,HD-S73CX,C28H1552L00550,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652515985
INTEK Digital,HD-S73CX,C28H1552L00551,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532539
INTEK Digital,HD-S73CX,C28H1552L00552,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535081
INTEK Digital,HD-S73CX,C28H1552L00553,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529464
INTEK Digital,HD-S73CX,C28H1552L00554,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532611
INTEK Digital,HD-S73CX,C28H1552L00555,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532073
INTEK Digital,HD-S73CX,C28H1552L00556,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532780
INTEK Digital,HD-S73CX,C28H1552L00557,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532606
INTEK Digital,HD-S73CX,C28H1552L00558,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652541467
INTEK Digital,HD-S73CX,C28H1552L00568,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533013
INTEK Digital,HD-S73CX,C28H1552L00569,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532695
INTEK Digital,HD-S73CX,C28H1552L00570,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516416
INTEK Digital,HD-S73CX,C28H1552L00571,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532904
INTEK Digital,HD-S73CX,C28H1552L00572,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532896
INTEK Digital,HD-S73CX,C28H1552L00573,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652539146
INTEK Digital,HD-S73CX,C28H1552L00574,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533019
INTEK Digital,HD-S73CX,C28H1552L00575,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533023
INTEK Digital,HD-S73CX,C28H1552L00576,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532951
INTEK Digital,HD-S73CX,C28H1552L00577,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532518
INTEK Digital,HD-S73CX,C28H1552L00578,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529591
INTEK Digital,HD-S73CX,C28H1552L00579,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652515711
INTEK Digital,HD-S73CX,C28H1552L00580,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533005
INTEK Digital,HD-S73CX,C28H1552L00581,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532543
INTEK Digital,HD-S73CX,C28H1552L00582,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652535065
INTEK Digital,HD-S73CX,C28H1552L00583,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532991
INTEK Digital,HD-S73CX,C28H1552L00584,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514744
INTEK Digital,HD-S73CX,C28H1552L00585,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652516594
INTEK Digital,HD-S73CX,C28H1552L00586,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532680
INTEK Digital,HD-S73CX,C28H1552L00587,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532915
INTEK Digital,HD-S73CX,C28H1552L00588,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532925
INTEK Digital,HD-S73CX,C28H1552L00589,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532549
INTEK Digital,HD-S73CX,C28H1552L00590,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652529763
INTEK Digital,HD-S73CX,C28H1552L00591,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540492
INTEK Digital,HD-S73CX,C28H1552L00592,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652533144
INTEK Digital,HD-S73CX,C28H1552L00593,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532745
INTEK Digital,HD-S73CX,C28H1552L00594,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652532894
INTEK Digital,HD-S73CX,C28H1552L00595,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652540571
INTEK Digital,HD-S73CX,C28H1552L00596,2015-12-21,Broadcom_BCM7358,BCM7358TPK,652514377
