"Operator Name";"Operator Group Name";"STB Manufacturer";"STB Model";"STB Serial";"STB Production Date";"Chipset Manufacturer";"Chipset Type";"Chipset Version";"Chipset Id"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00001";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539533"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00002";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652544353"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00003";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652533237"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00004";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652541705"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00005";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532444"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00006";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652524055"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00007";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539128"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00008";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539595"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00009";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652541170"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00010";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539968"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00011";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535456"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00012";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535988"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00013";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537378"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00014";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652544316"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00015";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652534427"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00016";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532478"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00017";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539106"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00018";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516050"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00028";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537758"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00029";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539527"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00030";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537796"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00031";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652536609"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00032";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540605"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00033";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540844"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00034";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539223"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00035";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652536561"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00036";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540190"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00091";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529433"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00092";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535996"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00093";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652536576"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00094";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537558"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00095";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516367"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00096";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516183"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00097";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516202"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00098";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537781"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00099";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539593"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00127";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538355"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00128";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537744"
